epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.114,4.25757,4.86787,4.2311,0.00072,0.02104,0.00043,7e-05,4.1471,4.91163,4.16384,0.00024543,0.00024543,0.00024543
2,323.711,4.07745,4.74894,4.05823,0.00027,0.01839,0.00017,5e-05,4.1572,4.91968,4.16616,0.000495,0.000495,0.000495
3,396.974,3.84845,4.52245,3.8824,0.00035,0.02653,0.00039,8e-05,4.03523,4.83949,3.92561,0.000739531,0.000739531,0.000739531
4,469.565,3.69016,4.42968,3.64465,0.00077,0.04364,0.00084,0.00017,4.21836,5.0104,4.28572,0.000882003,0.000882003,0.000882003
5,541.789,3.55673,4.33633,3.46227,0.00106,0.05147,0.00076,0.00018,3.68144,5.44781,3.89436,0.000873004,0.000873004,0.000873004
6,613.948,3.4206,4.12785,3.29127,0.00455,0.05404,0.00418,0.00122,3.21687,4.38957,3.38776,0.000864004,0.000864004,0.000864004
7,688.844,3.36802,4.00364,3.09673,0.16612,0.0451,0.01115,0.00267,3.12374,4.48495,3.06884,0.000855005,0.000855005,0.000855005
8,764.745,3.2507,3.96843,3.05047,0.45299,0.03399,0.01015,0.00306,3.08284,4.59972,2.96533,0.000846006,0.000846006,0.000846006
9,837.178,3.19869,3.80861,2.90482,0.61667,0.04477,0.01744,0.00577,3.10138,4.02779,3.05891,0.000837007,0.000837007,0.000837007
10,908.954,3.09636,3.77552,2.87557,0.67112,0.04042,0.02408,0.0064,2.94526,3.85258,2.83985,0.000828008,0.000828008,0.000828008
11,981.471,3.08825,3.72932,2.78828,0.62047,0.04187,0.0314,0.01014,2.8917,3.74969,2.7301,0.000819009,0.000819009,0.000819009
12,1054.77,3.01092,3.49033,2.70537,0.63352,0.06007,0.03039,0.00883,2.87458,3.91136,2.64589,0.00081001,0.00081001,0.00081001
13,1126.81,2.9548,3.54287,2.68485,0.62779,0.0585,0.04413,0.01376,2.80876,3.61033,2.6476,0.000801011,0.000801011,0.000801011
14,1198.05,2.92774,3.48773,2.63667,0.66551,0.08038,0.05332,0.01783,2.79662,3.52349,2.64435,0.000792012,0.000792012,0.000792012
15,1269.77,2.87103,3.48468,2.6176,0.65669,0.09211,0.05273,0.01597,2.74694,3.47936,2.57298,0.000783013,0.000783013,0.000783013
16,1342.27,2.78936,3.31362,2.52583,0.52498,0.09313,0.07254,0.02486,2.68812,3.38524,2.55923,0.000774013,0.000774013,0.000774013
17,1414.99,2.74235,3.28592,2.49179,0.68769,0.09341,0.07424,0.02363,2.67743,3.37968,2.52636,0.000765014,0.000765014,0.000765014
18,1487.68,2.71609,3.20327,2.46037,0.5242,0.11344,0.07033,0.02369,2.61633,3.29109,2.4843,0.000756015,0.000756015,0.000756015
19,1560.56,2.67758,3.17679,2.42433,0.57683,0.11389,0.09287,0.03263,2.58338,3.23547,2.4519,0.000747016,0.000747016,0.000747016
20,1633.24,2.67113,3.23614,2.44962,0.52868,0.09144,0.06747,0.02109,2.57834,3.23041,2.43663,0.000738017,0.000738017,0.000738017
21,1705.9,2.65448,3.12465,2.38109,0.57017,0.13031,0.09313,0.03122,2.52927,3.12277,2.38014,0.000729018,0.000729018,0.000729018
22,1778.68,2.61587,3.09973,2.34135,0.58634,0.1098,0.09541,0.03271,2.49888,3.06664,2.35095,0.000720019,0.000720019,0.000720019
23,1850.93,2.57247,2.93994,2.29313,0.46199,0.12399,0.09195,0.03312,2.51366,3.0481,2.41496,0.00071102,0.00071102,0.00071102
24,1924,2.53076,2.96226,2.28934,0.59051,0.15241,0.10416,0.03704,2.50331,3.16629,2.3916,0.000702021,0.000702021,0.000702021
25,1995.67,2.46689,2.83741,2.23827,0.44982,0.1262,0.10952,0.03775,2.44233,2.9821,2.36208,0.000693022,0.000693022,0.000693022
26,2067.8,2.50628,2.84669,2.26273,0.65848,0.11599,0.11503,0.04284,2.44285,3.25183,2.32135,0.000684022,0.000684022,0.000684022
27,2139.46,2.49973,2.9031,2.26185,0.44978,0.17218,0.12247,0.04396,2.4623,2.93964,2.31811,0.000675023,0.000675023,0.000675023
28,2212.46,2.50376,2.8321,2.22954,0.44668,0.16658,0.11963,0.03989,2.50046,2.96014,2.32344,0.000666024,0.000666024,0.000666024
29,2284.5,2.45898,2.88834,2.23866,0.18945,0.18558,0.13993,0.05107,2.42346,2.85886,2.31768,0.000657025,0.000657025,0.000657025
30,2356.97,2.44115,2.7805,2.17842,0.14993,0.21295,0.12371,0.04368,2.42843,2.94383,2.31326,0.000648026,0.000648026,0.000648026
31,2429.29,2.42339,2.81418,2.21842,0.54219,0.1701,0.15247,0.05545,2.38665,2.92387,2.25094,0.000639027,0.000639027,0.000639027
32,2500.86,2.41895,2.79355,2.16148,0.19689,0.2127,0.14648,0.0572,2.38587,2.81816,2.22176,0.000630028,0.000630028,0.000630028
33,2572.42,2.3736,2.68072,2.11783,0.20425,0.26037,0.17305,0.06391,2.36528,2.78318,2.24063,0.000621029,0.000621029,0.000621029
